Numer wywiadu;Id respondenta;Zmienna addresowa ID;Wska¿ swoj¹ p³eæ.;Inna, jaka?;Wska¿ swój wiek.;k_wiek;Wska¿ pañstwo, w którym mieszkasz obecnie. Chodzi tutaj o miejsce sta³ego pobytu, a nie o pobyt tymczasowy (np. w celu wyjazdu wypoczynkowego lub s³u¿bowego).Wybierz z listy;W jakim jêzyku lub jakich jêzykach mówi siê najczêœciej w Twoim domu? Wska¿ najwy¿ej 2 jêzykiJêzyk pierwszy:;Jêzyk drugi:;Jakie masz wykszta³cenie? Chodzi tutaj o ukoñczona? przez Ciebie szko³ê? najwy¿szego szczebla.;Byæ mo¿e zetkn¹³eœ/-aœ siê z informacj¹, ¿e na Ziemi zachodzi obecnie zmiana klimatu. Korzystaj¹c z poni¿szej skali (1-5) zaznacz w jakim stopniu martwisz sie? zmiana? klimatu: gdzie 1 oznacza, ¿e w bardzo ma³ym stopniu martwiê siê zmian¹ klimatu, zaœ 5, ¿e martwiê siê w bardzo du¿ym stopniu.;k_rozk³ad;Czy zechcesz wzi¹æ udzia³ w badaniu poœwiêconym postawom wobec zmiany klimatu? Udzia³ ten polega na wype³nieniu kwestionariuszy. Zajmie to oko³o 30 minut. Po udzieleniu odpowiedzi na wszystkie pytania, otrzyma Pan/Pani wynagrodzenie w wysokoœci 30 pkt, które zostan¹ naliczone na Twoje konto w ci¹gu 7 dni.Wype³nienie kwestionariuszy wymaga koncentracji i zaanga¿owania.;
750;045837f60fe0cd50734ed52fbc859dd7;NbOlTwyylme8Ns5;2;;3;2;1;1;5;3;3;1;1;
751;55ecdde77da0d429c1a4d8497339e03e;1FMQG5yha9vGqnY;2;;4;3;162;1;1;1;4;2;1;
753;43a9d94c96759a9ccd1ab8f660105d3e;2xTmP3PHcchakZu;1;;2;1;1;1;5;3;5;3;2;
754;4c3a46a8cda36b8cb6a8749aa1b5fa75;ttG9nSV0wMZdmW1;1;;2;1;1;1;5;1;4;2;1;
755;25dc6bb596d4fa9fdca431e92a3fc0b3;FeO3naT6QGUEO2q;2;;3;2;1;1;;4;4;2;1;
756;893fe82dccaf62ff5086a6d2ad812c47;IBQgyb0mk0zxWUr;2;;3;2;1;1;5;2;5;3;2;
757;143bd5e54775bbdb2049ed7ff93e0ba8;HOMUU1GeSJ72Wdr;1;;4;3;162;1;1;2;3;1;1;
758;d1a80dc0aaf87104be276c40597d325d;MYXEecGasz5jrzK;2;;3;2;1;1;1;2;2;1;1;
759;3e9cec914f86b827b70fd7f0e8b35597;kWod1Ypy7wrUYdm;2;;2;1;1;1;5;3;4;2;1;
760;2d22ade22a353d0dfc20be82111fa244;1HzDDTzH2zvDL9T;2;;2;1;162;1;;3;4;2;2;
761;de6e8c6bc0b326832734c6813ace5f56;Fu34WTUNUo10NLa;2;;2;1;162;1;1;3;1;1;1;
762;e9148c3da7aedcc3de6001e2eb1cfe37;YADFiPKVnIIahVN;1;;5;4;1;1;1;3;5;3;2;
763;ed3dcd581e27c1852b627021217586ac;i8WyJaMqg6y20eA;2;;3;2;162;1;5;1;4;2;2;
764;076668f35841880e091fa35b44280fe6;vkkV6RdlgoICrmG;2;;2;1;1;1;5;3;3;1;1;
765;001329efdd4ec4061cba9a82343d536a;H3pzTysisb1N2Kr;1;;5;4;162;1;1;3;4;2;1;
767;a6929a0115c0a35de74fc3b099d4aa0a;zIaE7AeCfl9ua5F;1;;5;4;162;1;;3;5;3;3;
768;1b5e829a294b8955de2fb2ba175e29ed;zrjaGzVt6EzM4tz;2;;5;4;1;1;1;3;2;1;1;
769;0597663898fac4f9ff1f88c3c135f6ba;Vlf5zx79QPcd0NL;2;;2;1;1;1;5;1;4;2;1;
770;0edf36425be591f6b8b4ae285feeee49;2PSN2ntGX6POxxR;2;;3;2;1;1;1;2;5;3;1;
772;d070c437e916e44edae18c800085590c;W5TeAtlkWfGtiPj;2;;2;1;1;1;5;3;4;2;2;
773;c185a8fb34e478bc080d681965995523;wz3S9kjQ8RLtfPh;1;;2;1;162;1;5;3;5;3;1;
774;2402602603e51c20acf2e1713fdfbdaf;5WWUK2hdpH82FWZ;2;;2;1;162;1;;1;1;1;1;
776;cfaa0a92ea4959cc530b698d63836526;AIfoPw4rIKqfYpK;1;;2;1;162;1;1;1;1;1;3;
778;da529f3e1fc0982455e950f57bbbe807;xKNq2FUPLxQ0okc;1;;2;1;1;1;;3;5;3;2;
779;bef9fb431462295fb34cef1475ca0655;rHXGyNJtmAuLdXc;2;;2;1;1;1;104;3;3;1;1;
780;79f2d9cb5fb53e763249646baa2eda41;vPq8XXbadWnQ4TV;2;;3;2;1;1;1;2;4;2;1;
781;0eed253b96aacb12f13c9dbb909dc00b;VafgjIZIXD3w1F1;2;;5;4;162;1;104;3;1;1;1;
782;73e00f59d5e6b86a32207aec3a7f09e1;FCEvupnvcREolBR;2;;3;2;162;1;5;3;4;2;1;
783;3dc9e73eb37fb2ca99c2609824fa96a1;XWVo50Fsy7sAWg5;2;;3;2;162;1;1;3;4;2;1;
784;af2d4204df7722004481d664451842a7;IlfsnDs5AO2CZ7D;2;;3;2;162;1;;3;4;2;1;
785;9df20ac09df2aa4f68dc5617431d294a;qqyo49aUWZkOhpE;2;;2;1;1;1;5;3;5;3;1;
786;960a6bd50165f84f940242444d3a9de6;RBMbXD57FjI2KFa;2;;3;2;162;1;;3;2;1;1;
789;139ab99658e362d9f5e8a4ff7882d596;UoIURXRHcMOZGSB;1;;2;1;1;1;1;2;3;1;1;
792;55c3d8c57cf18217ea108774e2d4966c;XIzyqp30etBIdZa;1;;5;4;1;1;104;2;3;1;3;
795;4c3c60210f91f666b257238a2911e8b3;i8cMYagXdaV8Lzc;1;;3;2;1;1;1;1;3;1;1;
796;c28fdc987d2b259123f934e6c6fb0658;DsGUmiVkczFz5Us;1;;2;1;1;1;1;2;2;1;1;
805;df7cc6262ed9759bfc5c63ae11e2f4eb;0O8zIPnV23Cy8X9;1;;2;1;1;1;5;2;4;2;2;
806;72a6b3d098a46626d5119297d694bc3f;iGZshsRxhz588gL;1;;2;1;1;1;1;1;4;2;3;
807;6a66d688986024d75fe2fa8cac48bf30;fXxzhDrxCib7ZBf;2;;2;1;1;1;5;2;4;2;2;
811;30932f2bfc1b68a6627cefee60967bba;ij8ONhwOWd994BU;1;;2;1;1;104;1;2;4;2;1;
814;6df8186b78ce0149f9264b6ef02f6341;WCXVMhI9FitAQua;1;;2;1;1;1;1;2;5;3;1;
821;1d76ac81e411b27684235434dfbdf48a;4ayjLc5zeXty15U;1;;2;1;1;1;;2;5;3;1;
824;ea458f77a170d1054d526537ba22778e;OgroQiful8YbGef;1;;5;4;162;1;1;2;5;3;3;
826;c06736b4383f5a018aded5cc413f526e;MQLNWW2RPzUusve;1;;5;4;1;1;1;2;5;3;1;
828;2439a2821146c181e4a790388a6d7d0e;3YBWiACgsIUxq5v;2;;5;4;1;1;1;2;5;3;1;
829;92fe7e5c3cef43d22da68811ab289300;N0E3HYpp9hwrW5e;2;;2;1;1;1;5;2;5;3;2;
840;c0443e7669c6e0c4a0dd67a2c7ccfa61;3iRKXBo9aS133S1;1;;5;4;1;1;1;2;5;3;1;
844;4ba43952861fed3fac365b7c08949405;BXaug15i9gveMkv;2;;2;1;1;1;1;2;5;3;1;
851;91449ffa59b32a7c299b50162a9b782b;DRoT60b4w1z9c0u;2;;5;4;1;1;;2;4;2;1;
859;aa3b27daa8571941cf34cd1b022df9dc;6EC28PsYIl2Ahc8;1;;2;1;162;1;5;3;4;2;3;
863;9ebf8f1e0f2608dfa78fd45e45656741;j9IinMaLGLuYaNX;1;;2;1;162;1;;4;5;3;1;
865;1776cd47f5c444ed63f8579e8a1c3662;Oz1m8nTFJx2WiMt;1;;2;1;1;1;5;3;4;2;1;
866;0ad8b1d44da6633e36733f603a939cf5;rmtXEKaRizGradf;1;;4;3;1;1;;3;4;2;1;
867;7623ee40b9146c8ae6a8f2685cdb7945;0G8Su0rw7ZKaY3L;1;;4;3;162;1;1;4;4;2;1;
869;45bfc45fafc9f19246bb243ffaae2735;qYbRTXGJqmLW7y7;2;;3;2;1;1;5;4;4;2;1;
870;10b4e593e4f41c3d4020916f94d88977;fsiL6ZnLV14H6jl;1;;5;4;1;1;1;3;4;2;2;
873;799d4e5395cc9c88202b3f28149fe001;px5rVzM1Ql1OXpz;1;;4;3;1;1;;2;4;2;1;
877;6cdd5f49d3d22a20314b540059087c9b;nnBoW0lbLOqQsYL;1;;5;4;1;1;1;3;2;1;1;
878;9c110e599adf77aecf4b926834b60be3;NTLHBS9gZRP2fgb;2;;3;2;1;1;5;3;3;1;1;
880;b30baca3509f6ae1c1cc8e5182fc20dd;JYdlrhbjhUxEvvL;2;;3;2;162;1;;3;2;1;2;
888;dc860a965e81dd7fe2563ed31093febe;2zq4FMEaZYWMqbF;2;;2;1;1;1;1;2;3;1;1;
889;bae42d835508657338e190d048aa7bab;CzJz9XSHzTyzKwZ;1;;2;1;162;1;1;2;5;3;1;
892;de99c1f6e5e55c723ea10edf202faea5;XBaNXpTjAJXWXoe;1;;4;3;162;1;;2;3;1;1;
1215;15e79b4b1719075038991661abd0cbbc;okLIClEavNvpZnL;1;;5;4;162;1;1;2;3;1;3;
1220;df57bad48b980092b99fc072e0305917;FX758S9yng4jbHv;2;;2;1;1;1;;2;3;1;1;
1311;900462927f13f432687e1a1b314c9ed1;ij9qzL2pjl5gLli;2;;5;4;162;1;;2;3;1;1;
1341;7716bbeff6b2e487f52a35830528bfa4;MOHJGyiLPRftQay;2;;2;1;162;1;;1;3;1;1;
1826;87c6e7eaeef95e4855dec757478d8670;AnDsE8NIWSpSI6y;2;;5;4;162;1;1;2;5;3;3;
2044;f7d67c1a3ad035bd09b2b3734b5d8e01;TGM2qLMup2znkTw;1;;2;1;162;1;89;2;4;2;1;
2052;9d0a3b0fcdc6aaaa2db65e97b5b66562;KerZeS7QQZGHEeG;2;;2;1;1;1;1;2;4;2;1;
2053;f82d0b0df7caaa9af72ced5b744e2b09;3bwz2BcoIsVaGZ6;1;;4;3;1;1;5;4;4;2;1;
2054;5bd467e8fc67a07a97d43da6b4fa2958;uszI6cdIeuR3Ahy;1;;2;1;1;1;1;3;4;2;2;
2055;23f9654f0fb0a8cd255ca4e13f10ac05;r7epztdHHlq42v3;1;;2;1;1;1;1;2;2;1;1;
2056;f67451fd5bc2ed9defe67dc3e1363292;hZULs7UUntVxgh9;1;;2;1;1;1;1;1;3;1;3;
2057;a219999536c3af0e9d88e180f4239a09;u4tpjH7Z41wcYff;2;;2;1;1;1;5;1;5;3;3;
2058;cde179f607ec2ca06f561d41fa854e5e;4CLmAEzzo1I8wzv;1;;2;1;1;1;;1;1;1;1;
2059;8973e3f6e3039c3ff836114a12acb2d4;Y7Thpc4ZqDuCELN;1;;2;1;1;1;89;3;4;2;2;
2060;2c1d9f553c2e8f4c7155e298683a5a3e;n02Wd1aFzQqCzTh;1;;3;2;162;1;1;4;3;1;1;
2061;8fa242ab611cb6d725f8229bb6e8eada;1JalQjs1naFU3UM;2;;4;3;1;1;1;3;5;3;1;
2062;75fbf351f949ec1ba0e2b6bafa5c747f;ah3biAYWrK2odxG;2;;3;2;162;1;5;4;5;3;1;
2063;b9494d6784b3b7a177b12d0c6f69244f;DYY17QndFz6JXaj;2;;3;2;1;1;5;3;5;3;1;
2064;37f50173e7d19937b95cd70026202459;Hp4vuNb7K6hX3J4;1;;3;2;1;1;5;3;5;3;1;
2066;c00795333911be94fd134d53a9b0f3ae;3kSH4lbSzNcPngQ;1;;4;3;1;1;5;3;5;3;2;
2067;063062d3d57eeb2cab77c399f3155da9;AzBaYk6Rz9TWxKG;2;;3;2;162;1;5;3;4;2;1;
2068;e2222ba848647f96ce024987cb28f41d;fPjIKLPJaux6BdR;1;;4;3;162;1;;3;4;2;1;
2069;9e597125e9c44e3c0a5f38b9959e5e79;VNIVExBdTg7zekT;1;;3;2;1;1;;4;2;1;1;
2070;f2671eb1a181b77af0dfa9e82ba93a77;RdHBlGtuER1ZTkW;1;;4;3;1;1;;3;3;1;1;
2071;b12fbe25c355e3862a0a6bd24e18762e;ymP5LHhMoesHNLg;2;;2;1;1;1;5;3;4;2;1;
2072;d20c2afc6aca847d3ecf5717b4c00c6d;efErS5LMdk8Oj11;1;;4;3;1;1;5;3;4;2;1;
2073;d0b9a885b34f328a67b2edabbc3e72d4;QVubsToBOvDR5hz;2;;3;2;1;1;;2;2;1;1;
2074;eb9bb3779c83188076f7c6cb6d38d6db;Ye193Yt3sch4sjF;2;;4;3;1;1;1;3;3;1;1;
2075;e93ab632539239705e9e1fd80236632e;daVYoprKYvpJaqM;1;;2;1;1;1;1;1;1;1;1;
2077;d8a38423fa94877bc828d893a831b579;vcaybz6fEsIbpnz;1;;4;3;1;1;1;3;5;3;1;
2078;80b6f85d9f12e39300bddd76032e134e;8LjJ5Lz8EMkChSm;1;;2;1;1;1;5;3;5;3;1;
2079;0028859b65221bbe08bc286c0e7b2286;wgIFcZc8yEezagW;2;;3;2;1;1;1;3;3;1;1;
2080;1bf18689b5299bbc55d43f0bc82939b8;RrcPwfAeJ3jPGRI;1;;4;3;162;1;5;1;3;1;1;
2082;b57fd58385860964946b256948248670;KuQxFo44iqVIgm0;1;;3;2;1;1;5;1;5;3;1;
2083;1e168dbf1f69e0cb793af1ce90e707ff;r6Hn5vvSDML5Xli;1;;3;2;162;1;5;1;4;2;1;
2084;370a9f9919aa1429ea6691e3b9ad8a6b;mTmMZQO3hrFhiXp;2;;2;1;162;1;5;1;4;2;1;
2085;3415383ccfa3370f9b2067dc41b45994;uZG0IUcVd1LBocd;1;;2;1;1;1;1;1;4;2;1;
2087;42afcca4e8fbde7665f2a9999a0c20a8;XSFXu6fhaW1fRSR;2;;2;1;1;1;5;2;3;1;1;
2089;e3654a82a0cc9e36740f0e518cffcde2;e0ASFh1X6uOlUjW;1;;2;1;162;1;1;1;1;1;1;
2090;08d1f46b818631519abc470608361feb;Vzi0GS5seKXiau5;1;;2;1;1;1;;1;2;1;2;
2091;dfeff58515e3392ba51d3aa204fd22f0;fxgoIiaNbEyz4Jr;1;;2;1;1;1;5;1;5;3;1;
2092;1300622db9f0c4d4238e56dc2f91bf20;Wu0atoGNRBn8LY1;1;;5;4;1;1;1;1;2;1;1;
2093;d62c9eb0c64e494c2143bd26138b1095;azLeN27kYHuKlY0;1;;3;2;1;1;1;1;5;3;3;
2095;7e84b1586dfade57ad1769e5e6db2f90;HouJ6QzNIHaQq2i;2;;2;1;162;1;5;1;3;1;1;
2096;2a74d6b2adbfc82a0dd34517a90578dc;pCRqz01zrY9ixcH;1;;2;1;1;1;1;1;5;3;3;
2097;e8773d8f622b2ab4f5989d2437e5464d;ThePFJHdSaldRR5;1;;3;2;1;1;1;1;1;1;1;
2098;d02bcd3770193312e57ffc13ee56edc1;qWqxJSbv6WPncGa;1;;4;3;1;1;1;1;2;1;2;
2099;a362d4f39a1ea188f4874d43a6cdd739;N22Ib60Z68eCRNk;1;;2;1;1;1;5;3;4;2;1;
2100;bd6fa5ac2a33150326d69b0abf306c85;E3Xfl4btRhG1e2U;2;;3;2;1;1;1;3;5;3;1;
2101;00067a26ed85188b0b6100b70149651e;L8KZDhVCqXclROY;2;;4;3;1;1;5;4;4;2;1;
2103;adb9fe7273bf2a7a2ce655c98f3bdde5;UfawBapUU9rGJ6n;1;;3;2;1;1;5;4;4;2;2;
2104;2464498b0ca2cb71cbc20dcd38f3123e;LDGFW4gRNQjJiJY;1;;3;2;162;1;5;4;4;2;1;
2105;8b56ccc15af302996fcbc7076094ee4e;cdAMW9GjiuY6n4J;1;;2;1;162;1;;4;5;3;1;
2106;8808a41653a79b8160f60977b2343fe3;6Qp7O3KnaGJyhKz;2;;4;3;1;1;1;3;3;1;1;
2107;2c7bbb573aceca8b4e15ad31d9ccfc1b;uDKcdqqxhvj9VDD;1;;4;3;1;1;1;4;5;3;1;
2108;8e4a69b0b321078da1d7762482eae12f;oqOdfVCDrxBEZ6s;1;;3;2;162;1;1;1;3;1;1;
2109;8d2297df84b5e8b4f326f2432e165e1d;6vOJOl5H2wuHZon;1;;3;2;1;1;;3;3;1;2;
2111;69da9e6881b19a165922192fa8b17e89;zX1YPX6yjdfrLwe;1;;3;2;162;1;1;4;5;3;1;
2112;bb339432ea43dfbb452d2542ae4c9dfd;8oNtrTraJh4oW7T;1;;4;3;1;1;;3;4;2;1;
2113;0f235726d004097ffe2f817e739210d8;WbBISRszJyb2mfZ;1;;5;4;1;1;1;3;3;1;1;
2114;80cecc8e68d25c9e7bb2f71c5571638e;DEyu8e4aMt1PMyM;2;;3;2;162;1;5;4;4;2;1;
2115;5e9d4706adc3b7745edd78916ec96faa;A2Ffkz0ZOISjNf6;2;;4;3;162;1;;3;4;2;3;
2116;57401e5d5cd9ffd19b04f88f97a92c41;LyzZSdye1eq2aLG;1;;4;3;162;1;1;3;2;1;3;
2117;435b6145dcbc790d9dd51f229fe8111c;zdndIoVfIKssQwt;1;;3;2;1;1;5;4;5;3;1;
2119;703780457e2eead11b3203e0c5f50c98;E1AZPCt872zDz9N;2;;4;3;1;1;;4;4;2;1;
2120;73fe3601f5f26b419ad62b2937a338f4;ad5LQ65rMc3LnLC;1;;3;2;162;1;89;3;5;3;1;
2121;c32c8a3ad65d2d19936699eca3c717d1;kzRSJVNHnBObPzC;2;;4;3;1;1;5;3;5;3;2;
2122;117e15e3debf5f12c4d2f07675fd1785;DJK4zEvfgapOvmc;1;;3;2;1;1;;4;5;3;1;
2123;c29bc93aa828c2e19062a5eb2ab04f9e;T5wFZ4fXswbOOWU;2;;4;3;1;1;;4;3;1;3;
2124;714504575e870ff9b78d9135e5fea107;CszolxV90BgjiPH;2;;4;3;1;1;1;4;4;2;2;
2125;a6a5b2269a3845b049c785182eb64665;YKepgzOWgq1eWxU;2;;3;2;1;1;5;4;2;1;1;
2126;6b7ca66a4be461aa5f331e00f7c53fe7;rqiK36JNaoc1LBv;2;;3;2;1;1;5;4;4;2;2;
2127;7006aa53e1f8b8764a96d9d6fcda4382;iOX2GbcRvqTqTEi;1;;4;3;162;1;;3;5;3;2;
2128;2dc279584335e5dde41ac06c7bd7633e;eVr6xl3hccFJzsa;1;;3;2;1;1;5;4;4;2;1;
2129;e2725222207b1a9709d712ffa4a94e67;iKuC5zShxoie1rg;2;;4;3;162;1;1;2;5;3;1;
2130;3063de1d6f3dcb1e8b1570241d694118;riKqrPglKaFa7Ay;1;;3;2;1;1;5;3;5;3;1;
2131;e2503b16234433cb787c0a35838d50d4;1QJV6Way55nHlrz;1;;3;2;1;1;;4;5;3;1;
2132;4044b9ffc393cb5e27fc39f4432c6fd6;iF13AHqDisQIVmo;1;;5;4;1;1;104;3;4;2;1;
2135;79aff223441f29791d3d44d1b5af4ab2;TmhTzuKxcqq6wAa;2;;3;2;1;1;1;3;5;3;1;
